author,username,retweet_count,tweets,created_at,type
Bts_ungie,BasHolee,0,@Bts_ungie suap suapan rokok es krim jadinya nanti 😭👎🏼,2021-12-06 04:59:20,replied_to
H0BlCUTE,jiiminsteaa,1,"RT @H0BlCUTE: brati Maret beneran konser di Seoul yaa, semoga semuanya segera membaik! Aamiin 🤲🏻
rest well, stay safe, and stay healthy!💜 @…",2021-12-06 04:59:18,retweeted
jeongwooyjc,chillnfx,0,@jeongwooyjc mayan kan yak merchandise bts,2021-12-06 04:59:17,replied_to
Prambors,Citralifanny,1,"RT @Prambors: Hanya 3 Member yang Kembali ke Korea Usai Konser di LA, BTS Putuskan untuk Istirahat
 
#PramborsNews 
https://t.co/0fm99pefoQ",2021-12-06 04:59:16,retweeted
,threeuphoriani,0,"Bighit tidak memberitahu berapa lama BTS akan beristirahat. Mereka hanya menyampaikan bahwa BTS beristirahat serta mmpersiapkan konser dan rilisnya album baru yg akan datang pada bulan Maret. 

Aku fikir BTS bisa jadi kembali sebelom acara gramm👵🏼... ?!!! Akhir bulan Januari 😊 https://t.co/ZYWNlG4PRA",2021-12-06 04:59:09,
Sumber,gugusgemilang,0,"Sumber : https://t.co/8AcWYcn4Ou
https://t.co/Yj0gOCgXFe
https://t.co/M1JYtz7lgX
Gugus Gemilang 
120404200003",2021-12-06 04:59:07,replied_to
indomyfess,TasyaSiagian1,12,"RT @indomyfess: engga ada yg tau alasan pastinya karna emang gak dikasih tau

*jangan lupa votè bts di bunda! Gap menurun drastis ⚠️",2021-12-06 04:59:06,retweeted
inikodong,inikodong,1,"RT @inikodong: bantu rt bantu share ya temen2
kalo ada yang mau bantu transfer juga boleh banget kok 
#SaveLumajang #btsxarmypeduli #BTS #A…",2021-12-06 04:59:06,retweeted
,KimYuchan2,1,"Skuy lah ngevote bangtan. Biar menang vote.

#bts #BTS #MAMAVOTE",2021-12-06 04:59:03,
rugqi,jerapzah,0,"@rugqi yuk

hai @jxhyuno ada layout ulzzang, IU, sohee, nct dream, enhypen, nct127, BTS, redvelvet, aespa, itzy, blackpink, dan IVE ready stock dan BISA REQ juga loh😍🌈✨ price?start 2k aja yuu💵✅
catalog : https://t.co/0o2dRYsqli https://t.co/GlDvctadLW",2021-12-06 04:59:02,replied_to
likechizu,alyaakthv,0,@likechizu @BTS_twt Selamat istirahat my boy's,2021-12-06 04:58:57,replied_to
BTSxBRAZIL,gcfcix,0,@BTSxBRAZIL @anpanbtsbrasil_ @StoreKLine @BTS_twt jung hoseok @BTS_twt,2021-12-06 04:58:51,replied_to
,tbtbrzcart,0,"WTS BTS SMART X BTS PHOTOCARD PC PH

240 php per Member Set
800 php per whole set A or B w/ot7

DM me for pics 
Can do cod but w/ fees
Taytay Loc

Kim Namjoon RM Kim Seokjin Min Yoongi Suga Jung Hosek J hope Park Jimin Kim Taehyung V Jeon Jungkook JK Tingi #smartxbts wtb lfb lfs https://t.co/BSfFkzFpET",2021-12-06 04:58:48,
